ID;URL's de las imágenes;Precio Final;Cantidad;Estado;Nombre;Descripción;Categorias;Precio Base;Precio Venta;Cantidad mínima;Nombre de la imagen;Folder
;http://localhost:8888/joyeria/imgtemp/IMG_3228.JPG;;200;1;Juego bvlgari oval;acero existente solo en amarillo y plata;1,4;;;;IMG_3228.JPG;acero_20160720
;http://localhost:8888/joyeria/imgtemp/IMG_3229.JPG;;200;1;Juego bvlgari cruz;acero existente en acero solo amarillo;1,4;;;;IMG_3229.JPG;acero_20160721
;http://localhost:8888/joyeria/imgtemp/IMG_3230.JPG;;200;1;Juego bvlgari baguette;acero existente en acero solo amarillo;1,4;;;;IMG_3230.JPG;acero_20160722
;http://localhost:8888/joyeria/imgtemp/IMG_3231.JPG;;200;1;Juego cartier 2 zirconias;acero existente solo en amarillo y plata;1,4;;;;IMG_3231.JPG;acero_20160723
;http://localhost:8888/joyeria/imgtemp/IMG_3232.JPG;;200;1;Juego cartier logo;acero existente solo en amarillo y plata;1,4;;;;IMG_3232.JPG;acero_20160724
;http://localhost:8888/joyeria/imgtemp/IMG_3233.JPG;;200;1;Juego bvulgari redondo zirconia ;acero existente en acero solo amarillo;1,4;;;;IMG_3233.JPG;acero_20160725
;http://localhost:8888/joyeria/imgtemp/IMG_3234.JPG;;200;1;Juego channel zirconia ;acero existente solo en amarillo y plata;1,4;;;;IMG_3234.JPG;acero_20160726
;http://localhost:8888/joyeria/imgtemp/IMG_3235.JPG;;200;1;Juego channel num. 5;acero existente en acero solo amarillo;1,4;;;;IMG_3235.JPG;acero_20160727
;http://localhost:8888/joyeria/imgtemp/IMG_3236.JPG;;200;1;Juego tous 3 osos;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3236.JPG;acero_20160728
;http://localhost:8888/joyeria/imgtemp/IMG_3237.JPG;;200;1;Pulso channel canal zirconias;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3237.JPG;acero_20160729
;http://localhost:8888/joyeria/imgtemp/IMG_3238.JPG;;200;1;Pulso clavo de cartier con pasta ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3238.JPG;acero_20160730
